job_id,file_name,status,time,new_unary,new_binary,other,total_derive_0,all_derive,percentage
900883,interleave_34.0_b1f69df5a20cab321a8417503d83f599-bivium-39-200-0s0-0x1b770901581bbb2863c83835583d7ce4e1fafd907076320542-34,UNDEFINED/UNSAT,2714.178,5,82,0,54,75,0.72
900843,interleave_34.0_4dde0c9c5dc0c2b44d750d22c618a6a9-SGI_30_70_28_60_1-dir.shuffled-as.sat03-175,UNDEFINED/UNSAT,4319.771,1,457,239,70,88,0.7954545454545454
900851,interleave_34.0_658b73c4041fa79926a58e354e1159ac-sha1r17m148ABCD,SAT,1180.285,16,264,28,18,39,0.46153846153846156
900869,interleave_34.0_8db70165266190f3b072fdbb7e9b53e3-sat_prob_83,UNDEFINED/UNSAT,3249.64,16,238,0,58,85,0.6823529411764706
900885,interleave_34.0_b33252a0ae12bbdb10449932540776dd-pmg-11-UNSAT.shuffled-as.sat05-3939,UNDEFINED/UNSAT,3089.961,0,148,3,47,78,0.6025641025641025
900838,interleave_34.0_3f266eb6ee4251b947c582f7c6a59d67-problem_23.smt2,UNDEFINED/UNSAT,2563.282,3,731,57,29,61,0.47540983606557374
900915,interleave_34.0_faea4b579b0010b32f001ac4b5b9415a-rphp4_090_shuffled,UNDEFINED/UNSAT,1487.495,5,984,1826,53,88,0.6022727272727273
900837,interleave_34.0_3e29b1449c9b29120ffac84634f6e5f5-22930-0426-195.smt2,SLURM_TIME_LIMIT,5100,7,898,38,19,61,0.3114754098360656
900882,interleave_34.0_af6db1b9c5e0a3f02e8986878dda4761-MUS-v300-2,UNDEFINED/UNSAT,3555.133,0,16,1,78,83,0.9397590361445783
900816,interleave_34.0_11f7856b53db9263e48e81a61b0573fd-sted5_0x0-157,SAT,2029.78,9,302,1,27,47,0.574468085106383
900888,interleave_34.0_b7df8585b4695869fa6f857adb940897-mod4block_2vars_8gates_u2_autoenc,UNDEFINED/UNSAT,4181.816,32,346,71,29,62,0.46774193548387094
900877,interleave_34.0_a0a54d2adcf2360e6f19a8d12902aed4-rbsat-v945c61409g6,UNDEFINED/UNSAT,4914.431,0,16,5,73,78,0.9358974358974359
900917,interleave_34.0_ffab5112bbf8e8831bc954e9211a6b27-ablmulub8x16o,UNDEFINED/UNSAT,3029.306,55,1152,298,11,65,0.16923076923076924
900815,interleave_34.0_10aca82b7b9798a9a088f4df2c324d1d-cruxmiter29seed9,UNDEFINED/UNSAT,4713.121,12,283,84,49,87,0.5632183908045977
900841,interleave_34.0_4611cd26b441b8c5866e4a2c5a7952dc-WS_400_24_90_10.apx_1_DS-ST,SLURM_TIME_LIMIT,5100,0,61,0,79,91,0.8681318681318682
900889,interleave_34.0_b8322792935eab432e7696e2ca298ff3-gensys-ukn008.shuffled-as.sat05-3351,UNDEFINED/UNSAT,2043.709,0,498,2,23,54,0.42592592592592593
900893,interleave_34.0_c320454b0750a2f351ce1257db0b51db-SAT_instance_N=31,SAT,2732.307,77,297,34,17,50,0.34
900864,interleave_34.0_822ac2997c9e0f0def5971dabcdb0dd9-mchess_18,UNDEFINED/UNSAT,1279.036,0,56,0,62,67,0.9253731343283582
900824,interleave_34.0_217256b141ade2c4d06120f01360f63a-a_rphp035_05,UNDEFINED/UNSAT,595.754,0,434,364,34,68,0.5
900896,interleave_34.0_cf5cb637eb7138ad665cdf9269239d83-SGI_30_70_23_60_1-dir.shuffled-as.sat03-158,UNDEFINED/UNSAT,3767.215,0,326,59,68,88,0.7727272727272727
900897,interleave_34.0_d017cb009e488657a65b9ca3bc76db8f-fphp-012-011.shuffled-as.sat05-1228,UNDEFINED/UNSAT,1891.279,0,5,17,86,87,0.9885057471264368
900803,interleave_34.0_01966a0fc52b2200a13f5f835275a919-SGI_30_70_27_50_3-dir.shuffled-as.sat03-169,UNDEFINED/UNSAT,3824.764,9,383,66,66,88,0.75
